[TCP] Listening on 0.0.0.0:5200 allowed_dst=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 255]
[TCP] Conn from ('192.168.0.10', 56240)
[TCP] RX serial=44 src=FE dst=FF code=01 reg=0x01000000 len=1 wlen=1
[TCP] RX serial=7C src=FE dst=00 code=00 reg=0x00000002 len=2 wlen=0
[TCP] RX serial=4B src=FE dst=00 code=00 reg=0x00000016 len=8 wlen=0
[TCP] RX serial=73 src=FE dst=00 code=00 reg=0x14000000 len=88 wlen=0
[TCP] RX serial=DC src=FE dst=00 code=00 reg=0x00000006 len=1 wlen=0
[TCP] RX serial=A9 src=FE dst=01 code=00 reg=0x00000002 len=2 wlen=0
[TCP] RX serial=E0 src=FE dst=01 code=00 reg=0x00000016 len=8 wlen=0
[TCP] RX serial=B9 src=FE dst=01 code=00 reg=0x14000000 len=88 wlen=0
[TCP] RX serial=D1 src=FE dst=01 code=00 reg=0x00000006 len=1 wlen=0
[TCP] RX serial=1D src=FE dst=02 code=00 reg=0x00000002 len=2 wlen=0
[TCP] RX serial=13 src=FE dst=02 code=00 reg=0x00000016 len=8 wlen=0
[TCP] RX serial=61 src=FE dst=02 code=00 reg=0x14000000 len=88 wlen=0
[TCP] RX serial=0D src=FE dst=02 code=00 reg=0x00000006 len=1 wlen=0
[TCP] RX serial=99 src=FE dst=03 code=00 reg=0x00000002 len=2 wlen=0
[TCP] RX serial=47 src=FE dst=03 code=00 reg=0x00000016 len=8 wlen=0
[TCP] RX serial=F2 src=FE dst=03 code=00 reg=0x14000000 len=88 wlen=0
[TCP] RX serial=F9 src=FE dst=03 code=00 reg=0x00000006 len=1 wlen=0
[TCP] RX serial=DD src=FE dst=04 code=00 reg=0x00000002 len=2 wlen=0
[TCP] RX serial=6D src=FE dst=04 code=00 reg=0x00000016 len=8 wlen=0
[TCP] RX serial=70 src=FE dst=04 code=00 reg=0x14000000 len=88 wlen=0
[TCP] RX serial=28 src=FE dst=04 code=00 reg=0x00000006 len=1 wlen=0
[TCP] RX serial=F8 src=FE dst=05 code=00 reg=0x00000002 len=2 wlen=0
[TCP] RX serial=0B src=FE dst=05 code=00 reg=0x00000016 len=8 wlen=0
[TCP] RX serial=58 src=FE dst=05 code=00 reg=0x14000000 len=88 wlen=0
[TCP] RX serial=19 src=FE dst=05 code=00 reg=0x00000006 len=1 wlen=0
